brand,Odds Ratio,Lower CI,Upper CI
ACUR,1.0528654119637428,0.918614065521076,1.2067369936043602
AUDI,0.6623913059435131,0.5376011721335551,0.8161482246183647
BMW,0.9786942838885413,0.8699854177253904,1.1009868462168249
CADILLAC,0.908738131376076,0.735586930482193,1.1226477214264117
CHEVROLET,0.9745372529734423,0.8847035314000575,1.0734927845603504
CHRY,1.2414998481709925,1.0741634912030968,1.4349043563957555
DODGE,1.0261626314683479,0.9083514468692935,1.1592536675659264
FRHT,0.42718268967974776,0.3279733996511512,0.5564019842954455
GMC,0.7911218914176527,0.6662018455613036,0.9394657959149283
HONDA,1.045649831588761,0.9682725634861434,1.1292105255621563
HYUNDAI,1.1430205280628416,1.0241179783785241,1.2757279484943904
INFINITI,1.0420020652508764,0.8989901669574751,1.207764382631397
INTL,0.38725648253425654,0.2916790211740293,0.5141527925497504
JEEP,0.9541667329425786,0.8459074167298827,1.076281087324993
KIA,1.2849435887491085,1.0863865507425414,1.5197905617838614
LEXUS,0.8865660467584005,0.7756567322343094,1.0133340208376929
LINCOLN,1.3236597245683546,1.1410268850348002,1.5355247886126153
MAZDA,1.0723628010424078,0.8922227271017622,1.2888732175596778
MERCEDES,0.8801112228325122,0.7796613558234574,0.9935028314153554
MITS,1.0015807955046054,0.8174401447116892,1.2272018892312337
NISSAN,1.1933406035547247,1.1042361964665093,1.289635134810169
SUBARU,0.8477048338893516,0.7053727520492918,1.0187570802978179
TOYOTA,1.0706625669438445,0.9978441733874504,1.1487949349479054
VOLKSWAGEN,0.7954765337781559,0.6720965268417624,0.9415060047478734
